file,title,date,composer,genre,performing_forces,Qualities,Extra
"Haydn, The Representation of Chaos from The Creation.mp3",The Creation: Representation of Chaos,1798,Haydn,overture,orchestra,,
Beethoven - Symphony No. 5 in C Minor (1).mp3,"Symphony no. 5 in C Minor, op. 67 Mvt 1",1808,Beethoven,symphony,orchestra,,
Beethoven - Symphony No. 5 in C Minor (2).mp3,"Symphony no. 5 in C Minor, op. 67 Mvt 2",1808,Beethoven,symphony,orchestra,,
beethoven53.mp3,"Symphony no. 5 in C Minor, op. 67 Mvt 3",1808,Beethoven,symphony,orchestra,,
Beethoven - Symphony No. 5 in C minor  - Final (4th) movement.mp3,"Symphony no. 5 in C Minor, op. 67 Mvt 4",1808,Beethoven,symphony,orchestra,,
Erlkonig.mp3,Reichardt Erlkonig,1815,Schubert,lieder,,,
Schumann- Der Mond kommt still gegangen.mp3,Der Mond kommt still geganen,1843,C. Schumann,lieder,,,
imwunderschonenmonatmai.mp3,Dichterliebe “Im wonderschönen Monat Mai”,1840,R. Schumann,lieder,,,
"Fritz WUNDERLICH. Die alten, bösen Lieder. R. Schumann.mp3","Dichterliebe “Die alten, bösen Lieder”",1840,R. Schumann,lieder,,,
Paganini Caprice 24 In A Minor.mp3,Caprice for Solo Violin No. 24 in a minor,1802-1817,Paganini,caprice,violin,,
Hector Berlioz - Symphonie fantastique (1830) - V. Songe d'une nuit du sabbat.mp3,Symphonie Fantastique Mvt V,1830,Berlioz,symphony,,,
Rigoletto La Dona e mobile.mp3,"Rigoletto, Act III Scene I (La donna è mobile)",1851,Verdi,"aria, opera",,,
Bella figlia dell'amore - Rigoletto (1977).mp3,Rigoletto Act III Bella figlia dell’amore,1851,Verdi,opera quartet,,,
Richard Wagner - Die Walküre - Der Ring des Nibelungen - act 1^ part 1.mp3,Die Walküre Act I Scene I,1876,Wagner,opera,,,
funeral.mp3,Symphony No. 1 Mvt 3 (Funeral March),1888,Mahler,symphony,,,
brahmsdmajo.mp3,Concerto in D Major for Violin and Orchestra Mvt. 3,1878,Brahms,concerto,,,
clouds.mp3,Three Nocturnes: Clouds,1899,Debussy,nocturne,,,
rv.m4a,String Quartet in F Major,1903,Ravel,string quartet,,,
tg1.m4a,Trois Gymnopedies Mvt. 1,1888,Satie,sui generis,piano,,
tg2.m4a,Trois Gymnopedies Mvt. 2,1888,Satie,sui generis,piano,,
tg3.m4a,Trois Gymnopedies Mvt. 3,1888,Satie,sui generis,piano,,
night.mp3,Pierrot lunaire No 8: Night,1912,Schoenberg,sui generis,chamber ensemble,,
moonfleck.mp3,Pierrot lunaire No . 18: The Moonfleck,1912,Schoenberg,sui generis,chamber ensemble,,
wozzeck3.mp3,Wozzeck Act 3 Scene 3,1925,Berg,sui generis,,,
wozzeck4.mp3,Wozzeck Act 3 Scene 4,1925,Berg,sui generis,,,
gnomus.mp3,Pictures at an Exhibition: Gnomus,1874,Mussorgsky,orchestral character arrangement,,,
kiev.mp3,Pictures at an Exhibition: The Great Gate at Kiev,1874,Mussorgsky,orchestral character arrangement,,,
ros.mp3,The Rite of Spring Part 1,1913,Stravinsky,ballet,orchestra,,
2-02 The Unavailable Memory Of.m4a,The Unavailable Memory of,1944,John Cage,sui generis,perepared piano,,
appspring.mp3,Appalachian Spring Section 1,1944,Copland,ballet,orchestra,,
Scheffer Cinq etudes de bruits -Etude aux chemins de fer-.mp3,Etude aux Chemins de Fer ,1948,Schaeffer,musique concrete,magnetic tape,,
Saint Saens The Swan from Le Carnaval Des Animaux (Theremin).mp3,Carnival of Animals: The Swan,1886,Saint-Saens,theremin character arrangement,theremin,,
poemeelectronique.mp3,Poeme Electronique,1958,Varese,musique concrete,magnetic tape,,
bachbranden.mp3,Switched-On Bach: Brandenburg Concerto No. 3,1968,Carlos,synthesizer concerto character arrangement,synthesizer,,
02 Webern - String Quartet Op. 28 movt 1. Mässig (1938).m4a,String Quartet Op. 28 Mvt 1: Massig,1936,Webern,string quartet,,,
18musicians.mp3,Music for 18 Musicians,1976,Reich,sui generis,ensemble of instruments and voices,,
